from year,to year,inflation
1913.0,1914.0,0.0841666666666671
1914.0,1915.0,0.0841666666666659
1915.0,1916.0,0.6733333333333332
1916.0,1917.0,1.5991666666666664
1917.0,1918.0,1.9366666666666674
1918.0,1919.0,1.8516666666666666
1919.0,1920.0,2.272500000000001
1920.0,1921.0,-1.7675000000000007
1921.0,1922.0,-0.9258333333333345
1922.0,1923.0,0.2525000000000001
1923.0,1924.0,0.0
1924.0,1925.0,0.3366666666666684
1925.0,1926.0,0.1683333333333318
1926.0,1927.0,-0.2525000000000001
1927.0,1928.0,-0.2525000000000001
1928.0,1929.0,0.0
1929.0,1930.0,-0.336666666666666
1930.0,1931.0,-1.2625000000000004
1931.0,1932.0,-1.263333333333333
1932.0,1933.0,-0.5891666666666661
1933.0,1934.0,0.336666666666666
1934.0,1935.0,0.2525000000000001
1935.0,1936.0,0.1683333333333342
1936.0,1937.0,0.4208333333333319
1937.0,1938.0,-0.2525000000000001
1938.0,1939.0,-0.1683333333333318
1939.0,1940.0,0.0841666666666659
1940.0,1941.0,0.5891666666666661
1941.0,1942.0,1.3475000000000013
1942.0,1943.0,0.8416666666666662
1943.0,1944.0,0.2525000000000001
1944.0,1945.0,0.336666666666666
1945.0,1946.0,1.2625000000000004
1946.0,1947.0,2.356666666666667
1947.0,1948.0,1.5150000000000006
1948.0,1949.0,-0.2525000000000001
1949.0,1950.0,0.2525000000000001
1950.0,1951.0,1.599999999999999
1951.0,1952.0,0.4208333333333343
1952.0,1953.0,0.1683333333333318
1953.0,1954.0,0.16833333333333655
1954.0,1955.0,-0.08416666666667065
1955.0,1956.0,0.3366666666666684
1956.0,1957.0,0.757499999999998
1957.0,1958.0,0.6733333333333368
1958.0,1959.0,0.1683333333333318
1959.0,1960.0,0.4208333333333343
1960.0,1961.0,0.2524999999999977
1961.0,1962.0,0.25250000000000244
1962.0,1963.0,0.3366666666666636
1963.0,1964.0,0.3366666666666684
1964.0,1965.0,0.4208333333333343
1965.0,1966.0,0.757499999999998
1966.0,1967.0,0.8416666666666686
1967.0,1968.0,1.1791666666666647
1968.0,1969.0,1.5991666666666664
1969.0,1970.0,1.767500000000003
1970.0,1971.0,1.4308333333333298
1971.0,1972.0,1.094166666666671
1972.0,1973.0,2.1883333333333326
1973.0,1974.0,4.125
1974.0,1975.0,3.7874999999999943
1975.0,1976.0,2.6100000000000043
1976.0,1977.0,3.114166666666667
1977.0,1978.0,3.8725000000000023
1978.0,1979.0,9.561666666666667
1979.0,1980.0,4.915833333333334
1980.0,1981.0,7.154999999999991
1981.0,1982.0,4.714166666666671
1982.0,1983.0,2.609166666666662
1983.0,1984.0,3.619166666666672
1984.0,1985.0,3.11499999999999
1985.0,1986.0,1.6833333333333371
1986.0,1987.0,3.3666666666666742
1987.0,1988.0,3.9566666666666683
1988.0,1989.0,4.798333333333328
1989.0,1990.0,5.639166666666672
1990.0,1991.0,4.6299999999999955
1991.0,1992.0,3.4508333333333403
1992.0,1993.0,3.53583333333332
1993.0,1994.0,3.1141666666666765
1994.0,1995.0,3.535000000000006
1995.0,1996.0,3.7883333333333176
1996.0,1997.0,3.0300000000000105
1997.0,1998.0,2.1041666666666665
1998.0,1999.0,3.0308333333333244
1999.0,2000.0,4.713333333333348
2000.0,2001.0,4.125
2001.0,2002.0,2.3566666666666642
2002.0,2003.0,3.451666666666654
2003.0,2004.0,4.124166666666667
2004.0,2005.0,5.387500000000007
2005.0,2006.0,5.30249999999999
2006.0,2007.0,4.833333333333353
2007.0,2008.0,6.701666666666672
2008.0,2009.0,-0.6450000000000197
2009.0,2010.0,2.962500000000015
2010.0,2011.0,5.793333333333332
2011.0,2012.0,3.9183333333333317
